0:0:0:0:0:0:0:1 - - [08/May/2022:19:17:43 +0300] "GET /Myynti/listaaasiakkaat.jsp HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [08/May/2022:19:17:43 +0300] "GET /Myynti/asiakkaat/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/May/2022:19:17:57 +0300] "GET /Myynti/muutaasiakas.jsp?asikas_id=1 HTTP/1.1" 200 3470
0:0:0:0:0:0:0:1 - - [08/May/2022:19:17:57 +0300] "GET /Myynti/asiakkaat/haeyksi/undefined HTTP/1.1" 500 1276
0:0:0:0:0:0:0:1 - - [08/May/2022:19:17:58 +0300] "GET /Myynti/listaaasiakkaat.jsp HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [08/May/2022:19:17:58 +0300] "GET /Myynti/asiakkaat/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/May/2022:19:19:19 +0300] "GET /Myynti/asiakkaat/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/May/2022:19:19:21 +0300] "GET /Myynti/ HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/May/2022:19:19:29 +0300] "GET /Myynti/asiakkaat HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/May/2022:19:20:02 +0300] "GET /Myynti/asiakkaat/vir HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [08/May/2022:19:20:12 +0300] "GET /Myynti/asiakkaat HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/May/2022:19:22:51 +0300] "GET /Myynti/muutaasiakas.jsp?asikas_id=1 HTTP/1.1" 200 3470
0:0:0:0:0:0:0:1 - - [08/May/2022:19:22:51 +0300] "GET /Myynti/asiakkaat/haeyksi/undefined HTTP/1.1" 500 1282
0:0:0:0:0:0:0:1 - - [08/May/2022:19:23:10 +0300] "GET /Myynti/asiakkaat/haeyksi/undefined HTTP/1.1" 500 1282
0:0:0:0:0:0:0:1 - - [08/May/2022:19:26:04 +0300] "GET /Myynti/listaaasiakkaat.jsp HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [08/May/2022:19:26:05 +0300] "GET /Myynti/asiakkaat/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/May/2022:19:26:06 +0300] "GET /Myynti/muutaasiakas.jsp?asikas_id=1 HTTP/1.1" 200 3470
0:0:0:0:0:0:0:1 - - [08/May/2022:19:26:06 +0300] "GET /Myynti/asiakkaat/haeyksi/undefined HTTP/1.1" 500 1282
0:0:0:0:0:0:0:1 - - [08/May/2022:19:26:54 +0300] "GET /Myynti/muutaasiakas.jsp?asikas_id=1 HTTP/1.1" 200 3470
0:0:0:0:0:0:0:1 - - [08/May/2022:19:26:54 +0300] "GET /Myynti/asiakkaat/haeyksi/undefined HTTP/1.1" 500 1276
0:0:0:0:0:0:0:1 - - [08/May/2022:19:26:55 +0300] "GET /Myynti/listaaasiakkaat.jsp HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [08/May/2022:19:26:55 +0300] "GET /Myynti/asiakkaat/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/May/2022:19:26:56 +0300] "GET /Myynti/muutaasiakas.jsp?asikas_id=1 HTTP/1.1" 200 3470
0:0:0:0:0:0:0:1 - - [08/May/2022:19:26:56 +0300] "GET /Myynti/asiakkaat/haeyksi/undefined HTTP/1.1" 500 1276
0:0:0:0:0:0:0:1 - - [08/May/2022:19:26:59 +0300] "GET /Myynti/listaaasiakkaat.jsp HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [08/May/2022:19:26:59 +0300] "GET /Myynti/asiakkaat/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/May/2022:19:27:00 +0300] "GET /Myynti/muutaasiakas.jsp?asikas_id=2 HTTP/1.1" 200 3470
0:0:0:0:0:0:0:1 - - [08/May/2022:19:27:00 +0300] "GET /Myynti/asiakkaat/haeyksi/undefined HTTP/1.1" 500 1276
0:0:0:0:0:0:0:1 - - [08/May/2022:19:27:01 +0300] "GET /Myynti/listaaasiakkaat.jsp HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [08/May/2022:19:27:01 +0300] "GET /Myynti/asiakkaat/ HTTP/1.1" 200 453
